date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2016/2/6,906.59,777.69,269.8,225.79,225.72,223.34,230.82,379.3,768.09,774.97,782.4,796.81,801.93,799.23,795.72,796.23,726.7,348,325.62,328.11,319.51,305.15,241.01,218.83
2016/2/7,214.57,207.84,208.21,208.92,207.75,207.42,207.26,264.22,506.35,528.3,525.62,539.27,537.51,529.43,526.48,530.99,464.82,229.26,226.84,231.33,224.48,220.95,555.9,840.6
2016/2/8,830.91,700.71,193.02,190.31,190.83,188.89,198.94,331.08,537.36,548.42,549.87,550.85,553.11,548.08,543.54,545.06,542.5,517.57,513.82,500.57,445,262.37,565.6,845.71
2016/2/9,780.72,591.1,200.37,191.56,190.07,189.27,196.48,299.35,524.15,535,539.58,538.39,542.66,496.6,184.81,180.83,192.17,191.81,195.79,194.59,200.85,202.74,191.06,179.87
2016/2/10,180.61,182.39,181.82,181.21,182.65,185.43,179.48,182.59,198.29,198.22,205.35,204.31,205.7,207.52,208.62,208.38,204.96,206.49,208.59,211.39,208.73,208.77,196.93,183.86
2016/2/11,194.04,193.25,193.92,195.06,203.09,198.93,197.39,200.43,217.43,218.21,221.36,223.35,220.66,221.78,221.64,216.6,217.53,220.08,219.4,217.52,221.31,218.97,613.77,916.27
2016/2/12,591.81,202.38,201.21,201.51,203.09,200.74,201.24,204.03,221.06,225.65,226.18,220.32,220.34,275.91,317.31,269.17,237.03,217.28,217.59,218.9,216.87,218.65,201.07,198.53
2016/2/13,200.04,200.46,200.2,202.69,203.08,202.53,231.15,370.2,693.14,707.27,706.77,733.12,733.81,725.85,721.02,728.24,653.19,279.74,269.34,275.81,269.35,261.76,236.81,214.66
2016/2/14,207.28,210.15,209.8,212.54,211.64,214.51,222.52,367.88,745.02,778.78,777.71,808.18,816.52,818.82,812.74,818.5,733.44,351.84,279.45,279.09,276.04,275.72,582.44,901.54
2014/1/13,310.54,306.59,286.93,285.08,283.67,283.85,281.69,489.69,929.84,1022.43,1113.38,1199.75,1164.12,1148.13,1157.18,1157.63,1143.94,1105.93,1020.88,994.62,870.25,366.32,307.5,295.18
2014/1/14,288.63,278.31,278.63,277.18,278.82,275.93,280.07,443,1007.75,1147.68,1114.63,1116,1085.75,1122.75,1119.69,1114.43,1121.5,1069.63,959.69,925.62,876.63,366.56,306.75,289
2014/1/15,281.75,280.81,275.5,275.25,272.38,273.18,277.19,461.19,970.87,999.75,1076.88,1057.37,1049.82,1061.87,1068.25,1057.94,1059.25,1021.25,925.94,909.43,837.32,316.12,293.75,275.75
2014/1/16,273.63,271.56,272.44,272.87,270.69,270.62,269.57,428.62,955.75,992.56,1000.19,1012.44,1012.37,1103.44,1076.81,1071.5,1080.19,1026.63,931.25,918.12,859.06,349.5,297.88,286.75
2014/1/17,272.94,271.5,269.5,270.31,269.94,267.25,270.93,424.38,960.37,996.44,1061.13,1071.81,1077.25,1097.75,1087.12,1111.19,1087.25,1070.75,941.69,944.94,892.25,382.31,312.06,288.38
